id_persona|fecha_relevamiento|fecha_actualizacion|tecnologia_pc_casa|tecnologia_pc_trabajo|tecnologia_pc_universidad|tecnologia_pc_otro_lugar|tecnologia_int_casa|tecnologia_int_trabajo|tecnologia_int_universidad|tecnologia_int_movil|tecnologia_int_otro_lugar|deportes|deportes_universidad|deportes_gimnasio|deportes_particular|deportes_otro_lugar|deportes_basquet|deportes_futbol|deportes_gimnasia|deportes_handball|deportes_natacion|deportes_tenis|deportes_voley|deportes_otros|nivel_idioma_ingles|nivel_idioma_aleman|nivel_idioma_frances|nivel_idioma_italiano|nivel_idioma_portugues|nivel_idioma_chino|idioma_otro|nivel_idioma_otro
48926|2022-06-21|2022-06-21|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
55301|2022-10-04|2024-08-05|S|N|N|N|S|N|N|N|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
54624|2022-02-09|2023-11-13|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
49410|2011-10-14|2011-10-14|S|N|N|N|S|S|N|N|N|S|N|S|N|N|N|N|S|N|N|N|N|S|Basico|||||||
22799|2021-08-25|2023-05-02|S|N|N|N|S|N|N|N|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Bueno|Desconoce|Desconoce|Desconoce|Desconoce|||
39491|2011-09-15|2011-09-15|S|N|N|N|S|N|N|N|N|S|N|S|N|N|N|N|N|N|N|N|N|S|Basico|Desconoce|Desconoce|Desconoce|Desconoce|||
55437|2022-02-04|2023-11-23|S|S|N|S|S|S|N|N|S|S|S|N|N|N|N|S|N|N|N|N|N|N|Basico||||Basico|||
78318|2023-02-02|2023-12-07|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
50911|2014-02-09|2014-02-09|S|S|N|N|S|S|N|N|N|S|N|S|N|S|N|S|N|N|N|N|N|N|Muy bueno|||||||
78958|2023-02-23|2023-02-23|S|N|N|N|S|N|N|S|N|S|N|N|N|N|N|N|N|N|S|N|N|N|Basico|||||||
50261|2022-08-26|2023-08-30|S|N|N|N|S|N|S|N|N|S|N|S|N|N|N|N|S|N|S|N|N|S|Muy bueno|||||||
50309|2002-12-03|2002-12-03|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
52247|2010-03-23|2010-03-23|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Desconoce|Desconoce|Desconoce|Desconoce|Desconoce|||
50444|2002-11-29|2002-11-29|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||||||||
56935|2022-03-16|2023-12-04|S|N|N|N|S|N|S|N|N|S|N|N|S|N|N|N|N|N|N|N|N|S|Basico|||||||
54675|2020-03-13|2020-03-18|S|N|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|Basico|Basico||||||
