nombre|carrera|plan|materia|nombre_materia|anio_de_cursada|periodo_dictado|obligatoria
Profesorado de Física|203|2006|0087|Seminario de Enseñanza de la Física|4|2do Cuatrimestre|S
Profesorado de Física|203|2006|0088|Tópicos de Física Contemporánea|4|2do Cuatrimestre|S
Profesorado de Física|203|2009|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Profesorado de Física|203|2009|0034|Introducción a la Enseñanza de las Ciencias|1|1er Cuatrimestre|S
Profesorado de Física|203|2009|0058|Física I|1|1er Cuatrimestre|S
Profesorado de Física|203|2009|0145|Algebra I|1|1er Cuatrimestre|S
Profesorado de Física|203|2009|0059|Física II|1|2do Cuatrimestre|S
Profesorado de Física|203|2009|0060|Física Experimental I|1|2do Cuatrimestre|S
Profesorado de Física|203|2009|0125|Algebra Lineal|1|2do Cuatrimestre|S
Profesorado de Física|203|2009|0011|Análisis Matemático II|2|1er Cuatrimestre|S
Profesorado de Física|203|2009|0061|Física III|2|1er Cuatrimestre|S
Profesorado de Física|203|2009|0151|Química General e Inorgánica|2|1er Cuatrimestre|S
Profesorado de Física|203|2009|0039|Psicología y Aprendizaje|2|2do Cuatrimestre|S
Profesorado de Física|203|2009|0063|Física IV|2|2do Cuatrimestre|S
Profesorado de Física|203|2009|0183|Seminario de Enseñanza de la Física I|2|2do Cuatrimestre|S
Profesorado de Física|203|2009|0066|Mecánica|3|1er Cuatrimestre|S
Profesorado de Física|203|2009|0134|Informática Educativa I|3|1er Cuatrimestre|S
Profesorado de Física|203|2009|0186|Didáctica de la Física I|3|1er Cuatrimestre|S
Profesorado de Física|203|2009|0068|Termofísica|3|2do Cuatrimestre|S
Profesorado de Física|203|2009|0135|Informática Educativa II|3|2do Cuatrimestre|S
Profesorado de Física|203|2009|0187|Didáctica de la Física II|3|2do Cuatrimestre|S
Profesorado de Física|203|2009|0196|Práctica Docente I|3|2do Cuatrimestre|S
Profesorado de Física|203|2009|0042|Historia y Epistemología de las Ciencias I|4|1er Cuatrimestre|S
Profesorado de Física|203|2009|0065|Estructura de la Materia|4|1er Cuatrimestre|S
Profesorado de Física|203|2009|0184|Tópicos de Física Contemporánea y su enseñanza|4|1er Cuatrimestre|S
Profesorado de Física|203|2009|0052|Historia y Epistemología de las Ciencias II|4|2do Cuatrimestre|S
Profesorado de Física|203|2009|0185|Seminario de Enseñanza de la Física II|4|2do Cuatrimestre|S
Profesorado de Física|203|2009|0197|Práctica Docente II|4|2do Cuatrimestre|S
Profesorado de Física|203|2009|0017|Inglés|||N
Profesorado de Física|203|2009|0239|Prueba de Aptitud de Ingles|||N
Licenciatura en Ciencias Físicas|204|1995|0001|Introducción a la Programación I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0002|Análisis Matemático I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0003|Algebra I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0058|Física I|1|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0006|Geometría y Algebra Lineal|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0059|Física II|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0060|Física Experimental I|1|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0010|Introducción a la Arquitectura de Sistemas|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0011|Análisis Matemático II|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0061|Física III|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0062|Física Experimental II|2|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0045|Cálculo Numérico|2|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0063|Física IV|2|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0064|Física Experimental III|2|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0065|Estructura de la Materia|3|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0066|Mecánica|3|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0067|Variable Compleja|3|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0068|Termofísica|3|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0069|Física Experimental IV|3|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0070|Métodos Matemáticos de la Física|3|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0071|Electromagnetismo|4|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0072|Física Cuántica|4|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0073|Laboratorio I|4|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0074|Laboratorio II|4|2do Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0075|Física Estadística|5|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0076|Mecánica del Continuo|5|1er Cuatrimestre|S
Licenciatura en Ciencias Físicas|204|1995|0201|Trabajo Especial de Licenciatura Fisica|5||S
Licenciatura en Ciencias Físicas|204|1995|3019|Introducción a la Física del Estado Sólido||1er Cuatrimestre|N
Licenciatura en Ciencias Físicas|204|1995|0015|Probabilidades y Estadística|||N
